token_ID,filename,ca,category,word,POS,rel,not
88,I_brainiac_female,man,men,was,VERB,nsubj
114,I_brainiac_female,man,men,were,VERB,nsubj
158,I_brainiac_female,man,men,was,VERB,nsubj
169,I_brainiac_female,man,men,had,VERB,nsubj
178,I_brainiac_female,friends,other,making,VERB,dobj
181,I_brainiac_female,man,men,was,VERB,nsubj
190,I_brainiac_female,person,other,smartest,ADJ,amod
197,I_brainiac_female,man,men,chosen,VERB,nsubjpass
227,I_brainiac_female,man,men,was,VERB,nsubj
237,I_brainiac_female,man,men,do,VERB,nsubj
246,I_brainiac_female,man,men,put,VERB,nsubj
253,I_brainiac_female,man,men,put,VERB,dobj
263,I_brainiac_female,man,men,graduated,VERB,nsubj
288,I_brainiac_female,man,men,get,VERB,dobj
300,I_brainiac_female,man,men,was,VERB,nsubj
307,I_brainiac_female,man,men,first,ADJ,amod
316,I_brainiac_female,man,men,looking,VERB,nsubj
330,I_brainiac_female,man,men,keep,VERB,dobj
352,I_brainiac_female,man,men,expanding,VERB,dobj
362,I_brainiac_female,man,men,was,VERB,nsubj
371,I_brainiac_female,man,men,was,VERB,nsubj
400,I_brainiac_female,man,men,showing,VERB,dobj
412,I_brainiac_female,man,men,enjoys,VERB,nsubj
421,I_brainiac_female,man,men,challenging,VERB,dobj
433,I_brainiac_female,man,men,is,VERB,nsubj
442,I_brainiac_female,people,other,come,VERB,nsubj
448,I_brainiac_female,people,other,need,VERB,nsubj
455,I_brainiac_female,man,men,was,VERB,nsubj
458,I_brainiac_female,scientist,other,brilliant,ADJ,amod
475,I_brainiac_female,man,men,invited,VERB,nsubjpass
491,I_brainiac_female,man,men,met,VERB,nsubj
494,I_brainiac_female,woman,women,met,VERB,dobj
501,I_brainiac_female,they,other,hit,VERB,nsubj
510,I_brainiac_female,man,men,thrilled,VERB,nsubjpass
516,I_brainiac_female,someone,other,found,VERB,dobj
533,I_brainiac_female,man,men,realized,VERB,nsubj
553,I_brainiac_female,man,men,was,VERB,nsubj
579,I_brainiac_female,man,men,remember,VERB,nsubj
603,I_brainiac_female,man,men,come,VERB,nsubj
644,I_brainiac_female,man,men,loved,VERB,nsubj
654,I_brainiac_female,man,men,loved,VERB,dobj
685,I_brainiac_female,man,men,was,VERB,nsubj
699,I_brainiac_female,man,men,aced,VERB,nsubj
712,I_brainiac_female,family,other,joke,VERB,nsubj
720,I_brainiac_female,man,men,was,VERB,nsubj
728,I_brainiac_female,man,men,brushed,VERB,nsubj
731,I_brainiac_female,he,men,was,VERB,nsubj
741,I_brainiac_female,man,men,approached,VERB,nsubjpass
752,I_brainiac_female,man,men,told,VERB,dobj
756,I_brainiac_female,man,men,was,VERB,nsubj
759,I_brainiac_female,candidate,other,perfect,ADJ,amod
766,I_brainiac_female,man,men,was,VERB,nsubj
775,I_brainiac_female,family,other,explained,VERB,nsubj
786,I_brainiac_female,boy,men,bright,ADJ,amod
931,I_brainiac_female,expert,other,renowned,ADJ,amod
955,I_brainiac_female,man,men,was,VERB,nsubj
965,I_brainiac_female,man,men,solve,VERB,nsubj
988,I_brainiac_female,man,men,was,VERB,nsubj
1010,I_brainiac_female,people,other,come,VERB,nsubj
1024,I_brainiac_female,people,other,knew,VERB,nsubj
1028,I_brainiac_female,man,men,be,VERB,nsubj
1054,I_brainiac_female,man,men,was,VERB,nsubj
1084,I_brainiac_female,man,men,was,VERB,nsubj
1120,I_brainiac_female,people,other,came,VERB,nsubj
1146,I_brainiac_female,people,other,help,VERB,dobj
1149,I_brainiac_female,man,men,was,VERB,nsubj
1158,I_brainiac_female,man,men,remarkable,ADJ,amod
1173,I_brainiac_female,man,men,was,VERB,nsubj
1183,I_brainiac_female,man,men,figure,VERB,nsubj
1194,I_brainiac_female,man,men,was,VERB,nsubj
1216,I_brainiac_female,man,men,got,VERB,nsubj
1228,I_brainiac_female,man,men,ask,VERB,nsubj
1239,I_brainiac_female,man,men,ask,VERB,dobj
1249,I_brainiac_female,man,men,was,VERB,nsubj
1263,I_brainiac_female,man,men,decided,VERB,nsubj
1272,I_brainiac_female,man,men,put,VERB,dobj
